# x y z nx ny nz
0.124277 -0.053821 0.136601 -0.780942 0.385351 0.491562
0.064462 -0.019271 0.070975 -0.116716 -0.825136 0.552746
0.042767 0.047114 0.062241 -0.238205 0.875149 0.421157
0.124803 0.022812 0.021362 0.284009 0.332021 -0.899500
0.095588 -0.016421 0.030269 0.765034 -0.561043 -0.316155
0.113893 0.010049 -0.006233 -0.022314 -0.007969 -0.999719
0.068020 0.044701 -0.004983 -0.025564 0.001045 -0.999673
0.017491 0.011382 0.059850 -0.954591 0.054944 0.292810
0.129451 0.044460 0.047296 0.527206 0.849593 -0.015647
0.095732 0.018948 -0.005818 0.486858 -0.028958 -0.873001
0.110476 0.028415 -0.005855 0.022507 0.104565 -0.994263
0.034003 -0.017777 0.010625 -0.633622 -0.536174 -0.557710
0.080847 -0.017575 -0.004450 0.094371 0.759862 -0.643199
0.133371 -0.006511 0.091139 0.253168 -0.962713 0.095344
0.146792 0.020445 0.042544 0.929324 0.147103 -0.338699
0.048531 -0.014881 0.075222 -0.300922 -0.874715 0.379893
0.119612 0.029780 0.114038 -0.312018 0.280498 0.907726
0.085591 -0.034137 0.029905 0.571418 -0.714121 -0.404368
0.105507 0.025240 0.085429 -0.677183 0.321697 0.661766
0.089035 -0.033797 0.038225 0.644585 -0.742988 -0.180220
0.087913 -0.013696 0.141077 0.669348 -0.453917 0.588160
0.121048 0.035925 0.027093 0.304207 0.609924 -0.731745
0.133172 -0.039328 0.111901 0.971532 -0.209622 -0.110378
0.092369 0.039713 0.068960 0.179206 0.853631 0.489080
0.133759 0.018804 0.025122 0.725451 0.099351 -0.681065
0.027633 -0.012257 0.059279 -0.632673 -0.763674 0.128554
0.124899 -0.058898 0.137835 0.110486 -0.962147 0.249130
0.124559 0.014574 0.002235 0.547735 0.576807 0.606037
0.140605 -0.001351 0.101796 0.753503 -0.644231 0.131147
0.078111 0.053794 0.000106 -0.327820 0.944254 0.030310
0.022374 0.002245 0.000141 -0.421562 -0.392739 -0.817338
0.112428 0.040714 0.030802 0.033552 0.814811 -0.578755
0.125488 0.037814 0.001967 0.891602 0.295383 0.343212
0.120271 -0.018494 0.049969 0.383137 -0.919942 0.083147
0.059031 0.054178 0.011010 -0.321968 0.894268 -0.310839
0.149916 0.012806 0.051789 0.995709 -0.069605 0.060981
0.069067 0.024277 0.089552 0.213066 0.355323 0.910137
0.138863 -0.003957 0.078058 0.507431 -0.827674 -0.239728
0.112278 0.026064 -0.005945 0.034020 0.045160 -0.998400
0.049470 -0.025108 0.008251 -0.168991 -0.812572 -0.557824
0.133919 -0.047194 0.138950 -0.077092 0.431839 0.898650
0.100346 -0.019399 0.063039 -0.071230 -0.960455 0.269169
0.105812 -0.007191 0.120647 0.530958 -0.845535 -0.056165
0.144759 0.035224 0.109093 0.580342 0.422321 0.696310
