x y z
0.088839 -0.006633 0.141081
0.138044 -0.017036 0.121328
0.097296 0.000585 0.124516
0.038413 0.003380 0.084456
0.096008 0.026816 0.083145
0.085922 -0.012290 0.143313
0.072844 -0.035427 0.049834
0.095622 -0.012742 0.124310
0.100076 0.043202 0.027396
0.113022 -0.020014 0.060054
0.132323 -0.012341 0.123516
0.087533 0.019394 0.085139
0.149406 0.003576 0.085287
0.122810 -0.022858 0.113994
0.120592 0.015265 0.115936
0.122443 0.039706 0.031355
0.151715 0.027660 0.093255
0.127963 -0.000599 0.115352
0.130798 0.054333 0.080256
0.068699 0.059205 0.042721
0.089509 -0.016629 0.071054
0.050353 -0.011282 0.081111
0.076799 -0.033237 0.018571
0.097187 0.023614 0.085120
0.075693 0.044906 0.063221
0.000304 0.012782 0.020253
0.136656 -0.020183 0.116781
0.029676 0.044613 0.037888
0.062080 -0.031054 0.017254
0.090876 -0.001856 0.122871
0.033426 0.043476 0.059170
0.007793 0.026872 0.028373
0.115493 -0.000869 0.099006
0.064157 -0.030385 0.055645
0.132389 -0.007225 0.120907
0.003305 0.025523 0.025017
0.062033 -0.020748 0.065448
0.109816 0.025095 0.094461
0.114947 -0.000052 0.118867
0.118287 0.027783 0.114191
0.132002 -0.045712 0.137454
0.007686 -0.001417 0.019162
0.138007 -0.018088 0.117040
0.107780 0.007934 0.122293
0.040895 0.033602 0.081012
0.056194 0.023435 0.090645
0.110271 -0.010957 0.080614
0.078248 0.058211 0.039885
0.104014 -0.020334 0.047236
0.114380 0.026254 0.105900
0.124360 0.042126 0.092862
0.143456 0.042098 0.104745
0.135449 0.006832 0.026979
0.031292 0.026554 0.078627
0.103830 -0.005371 0.130556
0.070691 0.057878 0.051328
0.047796 0.055303 0.032696
0.056169 -0.002738 0.087889
0.125210 -0.059048 0.131393
0.089869 0.046772 0.044468
0.079691 0.044780 0.063617
0.134831 -0.003901 0.031864
0.069126 -0.006249 0.085523
0.063371 -0.034899 0.046024
0.099490 -0.003710 0.134311
0.123066 0.039139 0.095227
0.148992 0.002925 0.080498
0.093909 -0.009161 0.116925
0.117341 0.041235 0.066850
0.127478 -0.015003 0.104819
0.101818 0.042482 0.061459
0.118607 0.039394 0.090410
